Algoritmo;Melhor Custo;Pior Custo;Custo Médio;Tempo Médio (s);Iterações Médias;Taxa de Sucesso (%)
Simulated Annealing;32;32;32,0;0,001953;225,6;100,0
Hill-Climbing;32;46;33,87;0,001917;3,5;86,7
